A,B,C,D,E
E,C,A,B,D
E,C,A,B,D
E,C,A,B,D
E,C,A,B,D
E,C,A,B,D
E,C,A,B,D
E,C,A,B,D
E,C,A,B,D
E,C,A,B,D
E,C,A,B,D
E,C,A,B,D
E,C,A,B,D
E,C,A,B,D
E,C,A,B,D
E,C,A,B,D
